"No.","Time","Source","Destination","Protocol","Length","Info"
"123","9.526819","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=99252 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"124","9.526819","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=100712 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"125","9.526820","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=102172 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"126","9.526927","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=103632 Win=251968 Len=0"
"127","9.526928","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=103632 Win=262144 Len=0"
"128","9.529112","128.135.24.73","10.30.217.62","TLSv1.2","1514","Application Data, Application Data"
"129","9.529116","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=105092 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"130","9.529118","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=106552 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"131","9.529121","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=108012 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"132","9.529123","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=109472 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"133","9.529127","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=110932 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"134","9.529131","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=112392 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"135","9.529134","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=113852 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"136","9.529137","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=115312 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 137]"
"137","9.529142","128.135.24.73","10.30.217.62","TLSv1.2","1424","Application Data"
"138","9.529479","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=118142 Win=247680 Len=0"
"139","9.529480","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=118142 Win=262144 Len=0"
"140","29.116478","10.30.217.62","128.135.24.73","TCP","54","64558  >  80 [FIN, ACK] Seq=1 Ack=1 Win=262144 Len=0"
"141","29.116632","10.30.217.62","128.135.24.73","TCP","54","64558  >  80 [RST, ACK] Seq=2 Ack=1 Win=262144 Len=0"
"142","29.180525","128.135.24.73","10.30.217.62","TCP","60","80  >  64558 [ACK] Seq=1 Ack=2 Win=1214720 Len=0"
"143","29.180584","10.30.217.62","128.135.24.73","TCP","54","64558  >  80 [RST] Seq=2 Win=0 Len=0"
"144","29.291080","128.135.24.73","10.30.217.62","TCP","60","[TCP Dup ACK 142#1] 80  >  64558 [ACK] Seq=1 Ack=2 Win=1214720 Len=0"
"145","29.291208","10.30.217.62","128.135.24.73","TCP","54","64558  >  80 [RST] Seq=2 Win=0 Len=0"
"146","189.414281","128.135.24.73","10.30.217.62","TLSv1.2","100","Application Data"
"147","189.414284","128.135.24.73","10.30.217.62","TLSv1.2","85","Encrypted Alert"
"148","189.414661","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=118220 Win=262144 Len=0"
"149","189.415225","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [RST, ACK] Seq=6476 Ack=118220 Win=262144 Len=0"
